Variation,AssignedValue
VW,VW
Toyota,Toyota
Audi,Audi
Ford,Ford
BMW,BMW
Skoda,Skoda
Opel,Opel
Mercedes,Mercedes
FOR,Ford
mercedes,Mercedes
Hyundai,Hyundai
w,VW
ord,Ford
MW,BMW
bmw,BMW
yundai,Hyundai
BM,BMW
Toyot,Toyota
udi,Audi
Ope,Opel
AUDI,Audi
V,VW
opel,Opel
pel,Opel
For,Ford
pe,Opel
Mercede,Mercedes
audi,Audi
MERCEDES,Mercedes
OPEL,Opel
koda,Skoda
FORD,Ford
Hyunda,Hyundai
W,VW
Aud,Audi
vw,VW
hyundai,Hyundai
skoda,Skoda
ford,Ford
TOYOTA,Toyota
ercedes,Mercedes
oyota,Toyota
toyota,Toyota
SKODA,Skoda
Skod,Skoda
HYUNDAI,Hyundai
kod,Skoda
v,VW
for,Ford
SKOD,Skoda
aud,Audi
KODA,Skoda
PEL,Opel
yunda,Hyundai
or,Ford
UDI,Audi
OYOTA,Toyota
HYUNDA,Hyundai
mw,BMW
OPE,Opel
mercede,Mercedes
ERCEDES,Mercedes
ercede,Mercedes
TOYOT,Toyota
MERCEDE,Mercedes
ORD,Ford
ud,Audi
ope,Opel
AUD,Audi
hyunda,Hyundai
skod,Skoda
toyot,Toyota
M,BMW
YUNDAI,Hyundai
oyot,Toyota
bm,BMW
